Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,all_symptoms
Allergic Rhinitis,ringing_in_ears,recurrent_sinus_infections,nasal_irritation,watery_eyes,throat_irritation,white_patches_throat,itchy_throat,loss_of_smell,"['ringing_in_ears', 'recurrent_sinus_infections', 'nasal_irritation', 'watery_eyes', 'throat_irritation', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Otitis Externa,nasal_congestion,tinnitus,facial_pain,dry_cough,throat_irritation,postnasal_drip,headache,loss_of_smell,"['nasal_congestion', 'tinnitus', 'facial_pain', 'dry_cough', 'throat_irritation', 'postnasal_drip', 'headache', 'loss_of_smell']"
Tonsillitis,ringing_in_ears,loss_of_voice,hearing_loss,fluid_discharge,nasal_congestion,fatigue,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'hearing_loss', 'fluid_discharge', 'nasal_congestion', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,ear_itching,tinnitus,hearing_loss,ear_fullness,red_tonsils,vomiting,headache,loss_of_smell,"['ear_itching', 'tinnitus', 'hearing_loss', 'ear_fullness', 'red_tonsils', 'vomiting', 'headache', 'loss_of_smell']"
Epistaxis,nosebleeds,crusting_in_nose,facial_pain,swollen_lymph_nodes,irritability,redness_ear_canal,postnasal_drip,loss_of_smell,"['nosebleeds', 'crusting_in_nose', 'facial_pain', 'swollen_lymph_nodes', 'irritability', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,hoarseness,runny_nose,hearing_difficulty,blood_in_nasal_discharge,fever,fatigue,ear_tugging,loss_of_smell,"['hoarseness', 'runny_nose', 'hearing_difficulty', 'blood_in_nasal_discharge', 'fever', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Laryngitis,nasal_obstruction,fever,facial_pain,fluid_discharge,irritability,fatigue,itchy_throat,loss_of_smell,"['nasal_obstruction', 'fever', 'facial_pain', 'fluid_discharge', 'irritability', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,hoarseness,fever,facial_pain,disturbed_sleep,red_tonsils,fatigue,postnasal_drip,loss_of_smell,"['hoarseness', 'fever', 'facial_pain', 'disturbed_sleep', 'red_tonsils', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Otitis Media,nasal_obstruction,headache,fever,disturbed_sleep,red_tonsils,redness_ear_canal,headache,loss_of_smell,"['nasal_obstruction', 'headache', 'fever', 'disturbed_sleep', 'red_tonsils', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Epistaxis,ear_pain,loss_of_voice,headache,swollen_lymph_nodes,fever,loss_of_balance,itchy_throat,loss_of_smell,"['ear_pain', 'loss_of_voice', 'headache', 'swollen_lymph_nodes', 'fever', 'loss_of_balance', 'itchy_throat', 'loss_of_smell']"
Epistaxis,nosebleeds,ear_pain,itchy_nose,pus_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['nosebleeds', 'ear_pain', 'itchy_nose', 'pus_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Otitis Media,nosebleeds,tinnitus,swelling_ear_canal,pus_discharge,hearing_difficulty,postnasal_drip,postnasal_drip,loss_of_smell,"['nosebleeds', 'tinnitus', 'swelling_ear_canal', 'pus_discharge', 'hearing_difficulty', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Otitis Media,nasal_congestion,headache,hearing_loss,blood_in_nasal_discharge,throat_irritation,postnasal_drip,headache,loss_of_smell,"['nasal_congestion', 'headache', 'hearing_loss', 'blood_in_nasal_discharge', 'throat_irritation', 'postnasal_drip', 'headache', 'loss_of_smell']"
Deviated Septum,nosebleeds,buzzing_in_ears,swelling_ear_canal,blood_in_nasal_discharge,nausea,white_patches_throat,headache,loss_of_smell,"['nosebleeds', 'buzzing_in_ears', 'swelling_ear_canal', 'blood_in_nasal_discharge', 'nausea', 'white_patches_throat', 'headache', 'loss_of_smell']"
Otitis Externa,vertigo,tinnitus,facial_pain,watery_eyes,nausea,fatigue,loss_of_balance,loss_of_smell,"['vertigo', 'tinnitus', 'facial_pain', 'watery_eyes', 'nausea', 'fatigue', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,nosebleeds,difficulty_swallowing,facial_pain,watery_eyes,nasal_congestion,loss_of_balance,ear_tugging,loss_of_smell,"['nosebleeds', 'difficulty_swallowing', 'facial_pain', 'watery_eyes', 'nasal_congestion', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Epistaxis,ear_itching,tinnitus,hearing_difficulty,dry_cough,throat_irritation,loss_of_balance,loss_of_balance,loss_of_smell,"['ear_itching', 'tinnitus', 'hearing_difficulty', 'dry_cough', 'throat_irritation', 'loss_of_balance', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,vertigo,loss_of_voice,swelling_ear_canal,dry_cough,hearing_difficulty,fatigue,headache,loss_of_smell,"['vertigo', 'loss_of_voice', 'swelling_ear_canal', 'dry_cough', 'hearing_difficulty', 'fatigue', 'headache', 'loss_of_smell']"
Otitis Media,nosebleeds,fever,fever,fluid_discharge,hearing_difficulty,breathing_difficulty,headache,loss_of_smell,"['nosebleeds', 'fever', 'fever', 'fluid_discharge', 'hearing_difficulty', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Laryngitis,nasal_congestion,fever,facial_pain,ear_fullness,nasal_congestion,redness_ear_canal,itchy_throat,loss_of_smell,"['nasal_congestion', 'fever', 'facial_pain', 'ear_fullness', 'nasal_congestion', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,sneezing,difficulty_swallowing,hearing_loss,dry_cough,snoring,postnasal_drip,headache,loss_of_smell,"['sneezing', 'difficulty_swallowing', 'hearing_loss', 'dry_cough', 'snoring', 'postnasal_drip', 'headache', 'loss_of_smell']"
Allergic Rhinitis,nasal_congestion,recurrent_sinus_infections,nasal_irritation,dry_cough,throat_irritation,white_patches_throat,headache,loss_of_smell,"['nasal_congestion', 'recurrent_sinus_infections', 'nasal_irritation', 'dry_cough', 'throat_irritation', 'white_patches_throat', 'headache', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,recurrent_sinus_infections,fever,ear_fullness,hearing_difficulty,postnasal_drip,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'recurrent_sinus_infections', 'fever', 'ear_fullness', 'hearing_difficulty', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,ear_pain,crusting_in_nose,sore_throat,swollen_lymph_nodes,hearing_difficulty,white_patches_throat,postnasal_drip,loss_of_smell,"['ear_pain', 'crusting_in_nose', 'sore_throat', 'swollen_lymph_nodes', 'hearing_difficulty', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,nasal_obstruction,difficulty_swallowing,headache,disturbed_sleep,fever,vomiting,headache,loss_of_smell,"['nasal_obstruction', 'difficulty_swallowing', 'headache', 'disturbed_sleep', 'fever', 'vomiting', 'headache', 'loss_of_smell']"
Meniere’s Disease,vertigo,loss_of_voice,sore_throat,thick_nasal_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['vertigo', 'loss_of_voice', 'sore_throat', 'thick_nasal_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Otitis Media,ear_pain,tinnitus,sore_throat,blood_in_nasal_discharge,throat_irritation,white_patches_throat,postnasal_drip,loss_of_smell,"['ear_pain', 'tinnitus', 'sore_throat', 'blood_in_nasal_discharge', 'throat_irritation', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,hoarseness,difficulty_swallowing,sore_throat,dry_cough,irritability,fatigue,itchy_throat,loss_of_smell,"['hoarseness', 'difficulty_swallowing', 'sore_throat', 'dry_cough', 'irritability', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Otitis Media,ear_pain,runny_nose,itchy_nose,ear_fullness,irritability,postnasal_drip,postnasal_drip,loss_of_smell,"['ear_pain', 'runny_nose', 'itchy_nose', 'ear_fullness', 'irritability', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,ringing_in_ears,headache,fever,swollen_lymph_nodes,red_tonsils,fatigue,ear_tugging,loss_of_smell,"['ringing_in_ears', 'headache', 'fever', 'swollen_lymph_nodes', 'red_tonsils', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,sneezing,tinnitus,headache,pus_discharge,hearing_difficulty,redness_ear_canal,itchy_throat,loss_of_smell,"['sneezing', 'tinnitus', 'headache', 'pus_discharge', 'hearing_difficulty', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Epistaxis,sore_throat,crusting_in_nose,hearing_difficulty,pus_discharge,nasal_congestion,breathing_difficulty,loss_of_balance,loss_of_smell,"['sore_throat', 'crusting_in_nose', 'hearing_difficulty', 'pus_discharge', 'nasal_congestion', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,hoarseness,buzzing_in_ears,headache,watery_eyes,throat_irritation,redness_ear_canal,headache,loss_of_smell,"['hoarseness', 'buzzing_in_ears', 'headache', 'watery_eyes', 'throat_irritation', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Tinnitus,sneezing,runny_nose,fever,blood_in_nasal_discharge,irritability,breathing_difficulty,headache,loss_of_smell,"['sneezing', 'runny_nose', 'fever', 'blood_in_nasal_discharge', 'irritability', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Sinusitis,ringing_in_ears,difficulty_swallowing,hearing_difficulty,dry_cough,snoring,breathing_difficulty,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'difficulty_swallowing', 'hearing_difficulty', 'dry_cough', 'snoring', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,red_tonsils,vomiting,itchy_throat,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'red_tonsils', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,ringing_in_ears,crusting_in_nose,itchy_nose,disturbed_sleep,throat_irritation,vomiting,ear_tugging,loss_of_smell,"['ringing_in_ears', 'crusting_in_nose', 'itchy_nose', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Epistaxis,sneezing,loss_of_voice,sore_throat,swollen_lymph_nodes,snoring,postnasal_drip,headache,loss_of_smell,"['sneezing', 'loss_of_voice', 'sore_throat', 'swollen_lymph_nodes', 'snoring', 'postnasal_drip', 'headache', 'loss_of_smell']"
Deviated Septum,nasal_congestion,crusting_in_nose,swelling_ear_canal,watery_eyes,irritability,white_patches_throat,headache,loss_of_smell,"['nasal_congestion', 'crusting_in_nose', 'swelling_ear_canal', 'watery_eyes', 'irritability', 'white_patches_throat', 'headache', 'loss_of_smell']"
Deviated Septum,ear_itching,headache,hearing_loss,facial_pain,red_tonsils,redness_ear_canal,loss_of_balance,loss_of_smell,"['ear_itching', 'headache', 'hearing_loss', 'facial_pain', 'red_tonsils', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,nasal_congestion,headache,itchy_nose,fluid_discharge,hearing_difficulty,white_patches_throat,itchy_throat,loss_of_smell,"['nasal_congestion', 'headache', 'itchy_nose', 'fluid_discharge', 'hearing_difficulty', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Otitis Media,nasal_obstruction,headache,hearing_difficulty,blood_in_nasal_discharge,nasal_congestion,vomiting,ear_tugging,loss_of_smell,"['nasal_obstruction', 'headache', 'hearing_difficulty', 'blood_in_nasal_discharge', 'nasal_congestion', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Otitis Media,sore_throat,fever,swelling_ear_canal,fluid_discharge,fever,breathing_difficulty,itchy_throat,loss_of_smell,"['sore_throat', 'fever', 'swelling_ear_canal', 'fluid_discharge', 'fever', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,buzzing_in_ears,swelling_ear_canal,thick_nasal_discharge,red_tonsils,fatigue,ear_tugging,loss_of_smell,"['sore_throat', 'buzzing_in_ears', 'swelling_ear_canal', 'thick_nasal_discharge', 'red_tonsils', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,sneezing,runny_nose,facial_pain,swollen_lymph_nodes,fever,white_patches_throat,ear_tugging,loss_of_smell,"['sneezing', 'runny_nose', 'facial_pain', 'swollen_lymph_nodes', 'fever', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Otitis Media,sore_throat,fever,swelling_ear_canal,fluid_discharge,fever,breathing_difficulty,itchy_throat,loss_of_smell,"['sore_throat', 'fever', 'swelling_ear_canal', 'fluid_discharge', 'fever', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Epistaxis,vertigo,loss_of_voice,fever,thick_nasal_discharge,nasal_congestion,redness_ear_canal,ear_tugging,loss_of_smell,"['vertigo', 'loss_of_voice', 'fever', 'thick_nasal_discharge', 'nasal_congestion', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,sneezing,fever,nasal_irritation,facial_pain,nausea,postnasal_drip,postnasal_drip,loss_of_smell,"['sneezing', 'fever', 'nasal_irritation', 'facial_pain', 'nausea', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,ear_itching,tinnitus,hearing_difficulty,swollen_lymph_nodes,red_tonsils,fatigue,ear_tugging,loss_of_smell,"['ear_itching', 'tinnitus', 'hearing_difficulty', 'swollen_lymph_nodes', 'red_tonsils', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,sore_throat,buzzing_in_ears,nasal_irritation,blood_in_nasal_discharge,snoring,breathing_difficulty,ear_tugging,loss_of_smell,"['sore_throat', 'buzzing_in_ears', 'nasal_irritation', 'blood_in_nasal_discharge', 'snoring', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Allergic Rhinitis,sneezing,runny_nose,hearing_difficulty,dry_cough,nasal_congestion,fatigue,postnasal_drip,loss_of_smell,"['sneezing', 'runny_nose', 'hearing_difficulty', 'dry_cough', 'nasal_congestion', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,sore_throat,headache,sore_throat,pus_discharge,nausea,redness_ear_canal,ear_tugging,loss_of_smell,"['sore_throat', 'headache', 'sore_throat', 'pus_discharge', 'nausea', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Sinusitis,ringing_in_ears,loss_of_voice,fever,dry_cough,snoring,postnasal_drip,ear_tugging,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'fever', 'dry_cough', 'snoring', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Epistaxis,sneezing,tinnitus,sore_throat,facial_pain,irritability,vomiting,itchy_throat,loss_of_smell,"['sneezing', 'tinnitus', 'sore_throat', 'facial_pain', 'irritability', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Sinusitis,sneezing,crusting_in_nose,headache,watery_eyes,nasal_congestion,white_patches_throat,loss_of_balance,loss_of_smell,"['sneezing', 'crusting_in_nose', 'headache', 'watery_eyes', 'nasal_congestion', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,vertigo,fever,nasal_irritation,dry_cough,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'fever', 'nasal_irritation', 'dry_cough', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,ringing_in_ears,crusting_in_nose,itchy_nose,watery_eyes,red_tonsils,redness_ear_canal,itchy_throat,loss_of_smell,"['ringing_in_ears', 'crusting_in_nose', 'itchy_nose', 'watery_eyes', 'red_tonsils', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Epistaxis,nosebleeds,ear_pain,itchy_nose,pus_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['nosebleeds', 'ear_pain', 'itchy_nose', 'pus_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Deviated Septum,nasal_obstruction,tinnitus,sore_throat,facial_pain,snoring,vomiting,ear_tugging,loss_of_smell,"['nasal_obstruction', 'tinnitus', 'sore_throat', 'facial_pain', 'snoring', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Otitis Externa,sore_throat,tinnitus,fever,blood_in_nasal_discharge,nausea,fatigue,headache,loss_of_smell,"['sore_throat', 'tinnitus', 'fever', 'blood_in_nasal_discharge', 'nausea', 'fatigue', 'headache', 'loss_of_smell']"
Tinnitus,sore_throat,ear_pain,hearing_loss,ear_fullness,snoring,vomiting,loss_of_balance,loss_of_smell,"['sore_throat', 'ear_pain', 'hearing_loss', 'ear_fullness', 'snoring', 'vomiting', 'loss_of_balance', 'loss_of_smell']"
Tonsillitis,nasal_obstruction,runny_nose,swelling_ear_canal,watery_eyes,nasal_congestion,fatigue,headache,loss_of_smell,"['nasal_obstruction', 'runny_nose', 'swelling_ear_canal', 'watery_eyes', 'nasal_congestion', 'fatigue', 'headache', 'loss_of_smell']"
Tinnitus,ringing_in_ears,buzzing_in_ears,sore_throat,pus_discharge,hearing_difficulty,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'buzzing_in_ears', 'sore_throat', 'pus_discharge', 'hearing_difficulty', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,hoarseness,loss_of_voice,hearing_difficulty,facial_pain,nausea,redness_ear_canal,loss_of_balance,loss_of_smell,"['hoarseness', 'loss_of_voice', 'hearing_difficulty', 'facial_pain', 'nausea', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Otitis Media,ringing_in_ears,buzzing_in_ears,swelling_ear_canal,ear_fullness,red_tonsils,vomiting,loss_of_balance,loss_of_smell,"['ringing_in_ears', 'buzzing_in_ears', 'swelling_ear_canal', 'ear_fullness', 'red_tonsils', 'vomiting', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,sneezing,crusting_in_nose,facial_pain,disturbed_sleep,nasal_congestion,fatigue,itchy_throat,loss_of_smell,"['sneezing', 'crusting_in_nose', 'facial_pain', 'disturbed_sleep', 'nasal_congestion', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Laryngitis,nasal_obstruction,fever,hearing_loss,ear_fullness,hearing_difficulty,breathing_difficulty,ear_tugging,loss_of_smell,"['nasal_obstruction', 'fever', 'hearing_loss', 'ear_fullness', 'hearing_difficulty', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Otitis Media,ear_pain,headache,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,loss_of_balance,loss_of_smell,"['ear_pain', 'headache', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Sinusitis,sore_throat,difficulty_swallowing,sore_throat,fluid_discharge,irritability,postnasal_drip,headache,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'sore_throat', 'fluid_discharge', 'irritability', 'postnasal_drip', 'headache', 'loss_of_smell']"
Epistaxis,ear_pain,loss_of_voice,hearing_loss,blood_in_nasal_discharge,snoring,vomiting,loss_of_balance,loss_of_smell,"['ear_pain', 'loss_of_voice', 'hearing_loss', 'blood_in_nasal_discharge', 'snoring', 'vomiting', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,sore_throat,ear_pain,hearing_loss,ear_fullness,snoring,vomiting,loss_of_balance,loss_of_smell,"['sore_throat', 'ear_pain', 'hearing_loss', 'ear_fullness', 'snoring', 'vomiting', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,ear_pain,headache,headache,thick_nasal_discharge,nausea,breathing_difficulty,loss_of_balance,loss_of_smell,"['ear_pain', 'headache', 'headache', 'thick_nasal_discharge', 'nausea', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Otitis Media,nasal_obstruction,headache,fever,disturbed_sleep,red_tonsils,redness_ear_canal,headache,loss_of_smell,"['nasal_obstruction', 'headache', 'fever', 'disturbed_sleep', 'red_tonsils', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Epistaxis,ringing_in_ears,tinnitus,hearing_difficulty,blood_in_nasal_discharge,fever,breathing_difficulty,itchy_throat,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'hearing_difficulty', 'blood_in_nasal_discharge', 'fever', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Meniere’s Disease,nasal_congestion,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,nausea,postnasal_drip,loss_of_balance,loss_of_smell,"['nasal_congestion', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'nausea', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Tonsillitis,nosebleeds,difficulty_swallowing,hearing_loss,watery_eyes,hearing_difficulty,white_patches_throat,postnasal_drip,loss_of_smell,"['nosebleeds', 'difficulty_swallowing', 'hearing_loss', 'watery_eyes', 'hearing_difficulty', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,ringing_in_ears,loss_of_voice,facial_pain,fluid_discharge,fever,loss_of_balance,loss_of_balance,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'facial_pain', 'fluid_discharge', 'fever', 'loss_of_balance', 'loss_of_balance', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,headache,itchy_nose,dry_cough,snoring,loss_of_balance,itchy_throat,loss_of_smell,"['sore_throat', 'headache', 'itchy_nose', 'dry_cough', 'snoring', 'loss_of_balance', 'itchy_throat', 'loss_of_smell']"
Meniere’s Disease,sneezing,headache,sore_throat,facial_pain,throat_irritation,white_patches_throat,ear_tugging,loss_of_smell,"['sneezing', 'headache', 'sore_throat', 'facial_pain', 'throat_irritation', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Allergic Rhinitis,sneezing,crusting_in_nose,facial_pain,watery_eyes,red_tonsils,white_patches_throat,postnasal_drip,loss_of_smell,"['sneezing', 'crusting_in_nose', 'facial_pain', 'watery_eyes', 'red_tonsils', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,ringing_in_ears,tinnitus,nasal_irritation,facial_pain,nausea,white_patches_throat,itchy_throat,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'nasal_irritation', 'facial_pain', 'nausea', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Epistaxis,sneezing,fever,nasal_irritation,facial_pain,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['sneezing', 'fever', 'nasal_irritation', 'facial_pain', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Otitis Media,vertigo,tinnitus,nasal_irritation,pus_discharge,red_tonsils,postnasal_drip,itchy_throat,loss_of_smell,"['vertigo', 'tinnitus', 'nasal_irritation', 'pus_discharge', 'red_tonsils', 'postnasal_drip', 'itchy_throat', 'loss_of_smell']"
Tonsillitis,nosebleeds,crusting_in_nose,fever,watery_eyes,nasal_congestion,fatigue,postnasal_drip,loss_of_smell,"['nosebleeds', 'crusting_in_nose', 'fever', 'watery_eyes', 'nasal_congestion', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Otitis Media,ear_itching,crusting_in_nose,nasal_irritation,fluid_discharge,nausea,white_patches_throat,itchy_throat,loss_of_smell,"['ear_itching', 'crusting_in_nose', 'nasal_irritation', 'fluid_discharge', 'nausea', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Laryngitis,nasal_congestion,buzzing_in_ears,nasal_irritation,fluid_discharge,snoring,vomiting,itchy_throat,loss_of_smell,"['nasal_congestion', 'buzzing_in_ears', 'nasal_irritation', 'fluid_discharge', 'snoring', 'vomiting', 'itchy_throat', 'loss_of_smell']"
